sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,0.2,Setosa
4.9,3,1.4,0.2,Setosa
4.7,3.2,1.3,0.2,Setosa
4.6,3.1,1.5,0.2,Setosa
5,3.6,1.4,0.2,Setosa
5.1,3.8,1.9,0.4,Setosa
4.8,3,1.4,0.3,Setosa
5.1,3.8,1.6,0.2,Setosa
4.6,3.2,1.4,0.2,Setosa
5.3,3.7,1.5,0.2,Setosa
5,3.3,1.4,0.2,Setosa
7,3.2,4.7,1.4,Versicolor
6.4,3.2,4.5,1.5,Versicolor
6.9,3.1,4.9,1.5,Versicolor
5.5,2.3,4,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,3.3,4.7,1.6,Versicolor
5,2.3,3.3,1,Versicolor
5.6,2.7,4.2,1.3,Versicolor
5.7,3,4.2,1.2,Versicolor
5.7,2.9,4.2,1.3,Versicolor
6.2,2.9,4.3,1.3,Versicolor
5.1,2.5,3,1.1,Versicolor
5.7,2.8,4.1,1.3,Versicolor
6.3,3.3,6,2.5,Virginica
5.8,2.7,5.1,1.9,Virginica
7.1,3,5.9,2.1,Virginica
6.3,2.9,5.6,1.8,Virginica
6.5,3,5.8,2.2,Virginica
7.6,3,6.6,2.1,Virginica
4.9,2.5,4.5,1.7,Virginica
6.7,3,5.2,2.3,Virginica
6.3,2.5,5,1.9,Virginica
6.5,3,5.2,2,Virginica
6.2,3.4,5.4,2.3,Virginica
5.9,3,5.1,1.8,Virginica
